mjd x y err_x err_y source
41762.84731474483 -28.158203707241597 177.78390130712478 2.0 2.0 0.0
41846.85302046446 -31.4303201577144 178.25020329520964 2.0 2.0 0.0
42641.14523015352 -3.0192663136500557 172.97365126205568 17.0 17.0 0.0
42642.13138409023 -3.0192663136500557 172.97365126205568 17.0 17.0 0.0
42886.405366634935 13.349110894066344 173.48717888748413 15.0 15.0 0.0
42912.33756274835 8.059737261413359 153.78894835220436 1.0 1.0 0.0
42914.34639484165 3.83415937380007 168.95650097553602 1.0 1.0 0.0
42945.20936063869 11.996596292212498 159.54962136401852 8.0 8.0 0.0
43267.35297996348 17.043123708606085 122.82317344155031 1.0 1.0 0.0
43319.25389641027 21.42407915070581 132.27625951978038 1.0 1.0 0.0
43321.18968006382 19.582187044356868 126.49323282515876 1.0 1.0 0.0
43562.54172501834 12.83352546873638 100.18133870159299 10.0 10.0 0.0
43563.52787895505 21.367785057857656 110.96133453469814 10.0 10.0 0.0
44410.268868389016 -29.237170472273714 95.63047559630353 5.0 5.0 0.0
44413.22733019914 -33.597192788512324 101.58852610768372 1.0 1.0 0.0
44416.295364668884 -42.77045609729011 113.18872773041396 1.0 1.0 0.0
44771.27425766413 -37.800862849057886 147.22464049155195 1.0 1.0 0.0
44773.246565537556 -35.48369530609759 147.80022790044686 1.0 1.0 0.0
44776.24155156755 -34.90291862344693 156.14668191019956 1.0 1.0 0.0
44778.54257741988 -17.427316106936054 141.93409968470905 6.0 6.0 0.0
44779.49220713672 -15.156627173809746 144.20567482839962 6.0 6.0 0.0
44784.45950104014 -20.458445841129684 145.5694061050108 6.0 6.0 0.0
45162.229507239346 -28.13908903376294 173.73598265284588 1.0 1.0 0.0
45490.29005018447 -22.685315275138986 179.5727609379205 1.0 1.0 0.0
45838.32934140288 -16.313864435600415 179.25919175087466 1.0 1.0 0.0
45846.65686353507 -1.7453070996747273 199.99238461283426 7.0 7.0 0.0
46156.49182076096 -10.100839554888264 192.73550020763275 13.0 13.0 0.0
46592.00661858747 16.58639820718768 166.17428018352481 11.0 11.0 0.0
46592.00661858747 11.582585981895221 161.58540683481291 11.0 11.0 0.0
