yr rv
2000.5747561643836 -17.0
2000.5947260273972 -19.5
2000.6020438356165 -18.5
2000.6029260273972 -21.0
2000.6075561643836 -19.5
2000.6112109589042 -19.5
2000.615805479452 -25.0
2000.637602739726 -28.0
2000.638482191781 -28.5
2000.6495260273973 -30.0
2000.6659342465753 -35.0
2000.6686246575343 -38.5
2000.6795561643835 -48.5
2000.6850438356164 -48.0
2000.7014438356164 -54.0
2000.7041780821917 -49.0
2000.712416438356 -46.0
2000.7151342465754 -40.5
2000.7178301369863 -38.5
2000.7205643835616 -41.5
2000.7260438356163 -33.5
2000.739709589041 -30.5
2000.7424712328768 -31.0
2000.74521369863 -26.0
2000.7588684931507 -24.5
2000.8136794520549 -18.0
2001.116295890411 -8.5
2001.1435726027398 -8.0
2001.1629534246576 -7.5
2001.1902575342465 -7.5
